row,pos_error_mm,dir_error_deg
528,9.007681,0.065309
529,9.147721,0.064223
530,9.185367,0.063775
531,9.112328,0.063920
532,8.948355,0.064423
533,8.106944,0.059473
534,8.827340,0.061276
535,8.934709,0.060467
536,8.967010,0.059707
537,8.916794,0.059161
538,8.513064,0.057056
539,14.906806,0.103169
540,11.242873,0.031905
541,11.726770,0.029211
542,11.860703,0.028977
543,11.625231,0.031889
544,11.082582,0.036375
545,10.316719,0.040649
546,11.066037,0.046086
547,11.477773,0.045551
548,11.546478,0.045968
549,11.323620,0.047275
550,10.884261,0.048465
551,10.217444,0.049428
552,10.627899,0.058618
553,10.955897,0.059193
554,10.991547,0.059985
555,10.811394,0.060402
556,10.437931,0.059877
557,9.916498,0.058072
558,10.167034,0.065325
559,10.496020,0.065463
560,10.544893,0.065861
561,10.388444,0.066038
562,10.049234,0.065470
563,9.592737,0.063288
564,9.795631,0.063213
565,10.113186,0.062794
566,10.187588,0.062538
567,10.047144,0.062727
568,9.714808,0.062918
569,9.326008,0.061417
570,9.496954,0.053847
571,9.741986,0.053173
572,9.830267,0.052554
573,9.726714,0.052209
574,9.470240,0.051772
575,9.145982,0.050837
576,13.455958,0.043024
577,14.010292,0.040380
578,14.135308,0.039755
579,13.698485,0.045624
580,13.029020,0.049817
581,12.035157,0.047802
582,12.996648,0.065593
583,13.576943,0.075007
584,13.316680,0.077096
585,12.944666,0.079559
586,12.547935,0.072345
587,11.918015,0.059610
588,12.361039,0.088153
589,12.666238,0.100958
590,12.395984,0.106642
591,12.165756,0.106793
592,11.974015,0.091090
593,11.476144,0.070653
594,11.882447,0.087986
595,12.367094,0.094766
596,12.316201,0.099614
597,12.126190,0.100083
598,11.632179,0.094825
599,10.926969,0.078947
600,11.480731,0.073570
601,12.194235,0.075539
602,12.358869,0.076118
603,12.094604,0.078320
604,11.392150,0.080240
605,10.446477,0.076476
606,10.906678,0.050531
607,11.504720,0.051327
608,11.734141,0.051408
609,11.550287,0.052190
610,10.928306,0.053065
611,10.109706,0.052992
612,8.619811,3.111772
613,8.237451,1.378039
614,7.829569,0.602800
615,7.778468,2.492546
616,7.359335,2.401448
617,13.000713,0.535777
618,7.097021,4.432423
619,6.661936,3.450129
620,6.542947,3.262665
621,6.270147,2.202502
622,7.180540,1.271846
623,11.960163,0.504695
624,9.178763,0.360900
625,7.277694,1.963042
626,6.410921,2.043196
627,5.896283,0.307205
628,7.170213,0.348021
629,11.078879,1.677115
630,9.802310,0.429247
631,8.856714,0.423755
632,8.256502,0.487455
633,7.625909,0.500445
634,7.591471,0.519934
635,9.238645,0.613604
636,10.911454,3.318970
637,9.866475,3.198693
638,9.336419,2.989572
639,8.489635,3.180917
640,9.457854,2.324551
641,8.495400,0.605081
642,12.236888,0.075526
643,12.209043,0.674716
644,11.022126,0.720743
645,11.186873,0.853949
646,13.620577,1.326607
647,11.118461,0.101234
