row,model,px,py,pz,ux,uy,uz,k,cost,nfev,status
23,biot,0.1643342392,0.1071338604,0.2173346481,0.0196381678,-0.3994004363,0.9165662190,0.9992641702,0.0000507517,6,1
24,biot,0.0018932102,0.1443414197,0.2199802933,0.0171046362,-0.4024568840,0.9152791312,0.9990654050,0.0000506247,6,1
25,biot,0.0345111951,0.1437846801,0.2209799593,0.0189670169,-0.4055281521,0.9138857533,0.9990468239,0.0000505984,6,1
26,biot,0.0674259030,0.1433119962,0.2208820737,0.0157887033,-0.4008165900,0.9160222585,0.9990712738,0.0000505827,6,1
27,biot,0.1001723903,0.1421015965,0.2199104303,0.0146282419,-0.4023731098,0.9153588886,0.9991493034,0.0000506091,6,1
28,biot,0.1323215893,0.1406414327,0.2177357030,0.0178779641,-0.3987095374,0.9169029846,0.9992732673,0.0000506772,6,1
29,biot,0.1636047840,0.1386404036,0.2148663740,0.0181531216,-0.3942888969,0.9188072322,0.9994342049,0.0000508890,6,1
30,biot,0.0034217962,0.1753303280,0.2164906397,0.0113517464,-0.4051097869,0.9141975708,0.9992891824,0.0000508310,6,1
31,biot,0.0355278052,0.1745617713,0.2172998056,0.0151063222,-0.4036128871,0.9148051358,0.9992750965,0.0000507427,6,1
32,biot,0.0678227461,0.1737991150,0.2171204071,0.0183727946,-0.3995570918,0.9165241791,0.9993007173,0.0000507240,6,1
33,biot,0.0997080997,0.1727611496,0.2162599782,0.0186983214,-0.3989610060,0.9167772294,0.9993750245,0.0000508288,6,1
34,biot,0.1315522659,0.1711379343,0.2143259656,0.0192413502,-0.3988955112,0.9167944926,0.9994865912,0.0000508455,6,1
35,biot,0.1625396424,0.1691301459,0.2121313722,0.0175661129,-0.3975835691,0.9173978075,0.9996323172,0.0000508918,6,1
36,biot,-0.0007665845,0.0127287464,0.1893625918,0.0175590815,-0.4070612459,0.9132320739,0.9992925259,0.0000501169,5,1
37,biot,0.0314942503,0.0111529302,0.1904008687,0.0183823256,-0.4008029347,0.9159798566,0.9992857761,0.0000499792,5,1
38,biot,0.0636854461,0.0106853782,0.1902724754,0.0200527406,-0.3966037198,0.9177708739,0.9992965851,0.0000499644,5,1
39,biot,0.0959928516,0.0100741291,0.1894353666,0.0175365980,-0.4010843769,0.9158732392,0.9993293240,0.0000500779,5,1
40,biot,0.1282169642,0.0095986110,0.1881113788,0.0169312190,-0.4011276157,0.9158656942,0.9993848261,0.0000502498,5,1
41,biot,0.1598236177,0.0094543501,0.1858650030,0.0172398858,-0.3998482502,0.9164192071,0.9994629151,0.0000506193,5,1
42,biot,-0.0001296141,0.0447412625,0.1897150701,0.0194155705,-0.4015951660,0.9156114669,0.9993056060,0.0000501146,5,1
43,biot,0.0320337037,0.0435414993,0.1907165019,0.0190655213,-0.4016022818,0.9156157017,0.9992956485,0.0000500445,5,1
44,biot,0.0642949799,0.0431397084,0.1909463514,0.0175304837,-0.4025547638,0.9152280286,0.9993061618,0.0000500277,5,1
45,biot,0.0965782485,0.0424236224,0.1902559441,0.0152057552,-0.4003160092,0.9162509906,0.9993398951,0.0000501692,5,1
46,biot,0.1287418670,0.0420166681,0.1885556271,0.0158821731,-0.4025222818,0.9152724016,0.9993989566,0.0000503696,5,1
47,biot,0.1603119463,0.0413302746,0.1864142369,0.0200287375,-0.4008423240,0.9159280981,0.9994809080,0.0000506217,5,1
48,biot,0.0005087466,0.0773500158,0.1892131946,0.0159243088,-0.4028056235,0.9151470079,0.9993389631,0.0000502757,5,1
49,biot,0.0328012414,0.0759404982,0.1903082821,0.0188061193,-0.4005275137,0.9160917206,0.9993277774,0.0000501978,5,1
50,biot,0.0649355693,0.0754785097,0.1905445588,0.0169302093,-0.4017847728,0.9155776124,0.9993393024,0.0000502006,5,1
51,biot,0.0970913355,0.0747530172,0.1899807668,0.0159839908,-0.4031136634,0.9150103204,0.9993748293,0.0000502557,5,1
52,biot,0.1291246510,0.0740156282,0.1883100944,0.0194299441,-0.4022829522,0.9153091847,0.9994348400,0.0000503988,5,1
53,biot,0.1606788575,0.0732965798,0.1859415642,0.0179589528,-0.3964461767,0.9178822937,0.9995233032,0.0000505910,5,1
54,biot,0.0014394563,0.1092469274,0.1883394292,0.0157770246,-0.4074141019,0.9131072418,0.9993976059,0.0000504547,5,1
55,biot,0.0334865943,0.1082507955,0.1892802496,0.0126135981,-0.4002707883,0.9163100966,0.9993870817,0.0000503859,5,1
56,biot,0.0655441439,0.1076027627,0.1894347906,0.0154242876,-0.4009828152,0.9159557158,0.9993995974,0.0000503244,5,1
